date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:38	18927/18927	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:02:42%20GMT	http://www.tunawezatz.org/	D:/web/TunawezaTZ/www.tunawezatz.org/index.html	(from )
10:48:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Sep%202025%2007:48:11%20GMT	http://www.tunawezatz.org/robots.txt		(from )
10:48:39	65666/65666	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/style.css	D:/web/TunawezaTZ/www.tunawezatz.org/style.css	(from http://www.tunawezatz.org/)
10:48:39	8243/8243	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/style.responsive.css	D:/web/TunawezaTZ/www.tunawezatz.org/style.responsive.css	(from http://www.tunawezatz.org/)
10:48:41	92793/92793	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/jquery.js	D:/web/TunawezaTZ/www.tunawezatz.org/jquery.js	(from http://www.tunawezatz.org/)
10:48:42	44341/44341	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/script.js	D:/web/TunawezaTZ/www.tunawezatz.org/script.js	(from http://www.tunawezatz.org/)
10:48:43	16973/16973	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/script.responsive.js	D:/web/TunawezaTZ/www.tunawezatz.org/script.responsive.js	(from http://www.tunawezatz.org/)
10:48:50	74313/74313	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo0.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo0.jpg	(from http://www.tunawezatz.org/)
10:48:59	84271/84271	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo3.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo3.jpg	(from http://www.tunawezatz.org/)
10:49:03	74057/74057	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo4.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo4.jpg	(from http://www.tunawezatz.org/)
10:49:03	113385/113385	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo2.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo2.jpg	(from http://www.tunawezatz.org/)
10:49:03	126756/126756	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo1.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo1.jpg	(from http://www.tunawezatz.org/)
10:49:09	74465/74465	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo5.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo5.jpg	(from http://www.tunawezatz.org/)
10:49:15	77581/77581	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo6.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo6.jpg	(from http://www.tunawezatz.org/)
10:49:19	81044/81044	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo8.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo8.jpg	(from http://www.tunawezatz.org/)
10:49:20	18927/18927	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:03:38%20GMT	http://www.tunawezatz.org/home.html	D:/web/TunawezaTZ/www.tunawezatz.org/home.html	(from http://www.tunawezatz.org/)
10:49:20	98697/98697	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Aug%202018%2005:47:02%20GMT	http://www.tunawezatz.org/images/slidejengo7.jpg	D:/web/TunawezaTZ/www.tunawezatz.org/images/slidejengo7.jpg	(from http://www.tunawezatz.org/)
10:49:20	10043/10043	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:05:22%20GMT	http://www.tunawezatz.org/about-us.html	D:/web/TunawezaTZ/www.tunawezatz.org/about-us.html	(from http://www.tunawezatz.org/)
10:49:21	7488/7488	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:13:30%20GMT	http://www.tunawezatz.org/news/newsletter.html	D:/web/TunawezaTZ/www.tunawezatz.org/news/newsletter.html	(from http://www.tunawezatz.org/)
10:49:22	7964/7964	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:07:24%20GMT	http://www.tunawezatz.org/news/events.html	D:/web/TunawezaTZ/www.tunawezatz.org/news/events.html	(from http://www.tunawezatz.org/)
10:49:22	7460/7460	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Aug%202018%2006:08:26%20GMT	http://www.tunawezatz.org/news/reports.html	D:/web/TunawezaTZ/www.tunawezatz.org/news/reports.html	(from http://www.tunawezatz.org/)
